trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.2, 'e': 0.047552507925405635}",25,19,10.167741246562272,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.2, 'e': 0.04612593268764346}",20,12,14.989576572491218,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.044742154707014155}",25,11,24.477233004063326,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.04339989006580373}",20,11,15.876700320531048,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.2, 'e': 0.04209789336382962}",25,12,21.430078292615605,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.2, 'e': 0.04083495656291473}",20,16,9.342475240486218,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.039609907866027284}",20,13,11.98499777309325,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.03842161063004647}",20,9,22.28372754257163,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.03726896231114507}",30,20,16.72479265924327,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.036150893441810716}",25,1,30.765878736757852,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.0350663666385564}",20,12,14.172727694543356,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.0340143756393997}",25,11,23.60151479622328,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.03299394437021771}",30,17,26.891125793844704,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.03200412603911118}",25,11,24.011609146020255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.031044002257937842}",30,18,22.991109391293264,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.030112682190199705}",25,0,26.018957719347064,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.2, 'e': 0.02920930172449371}",30,0,47.094064633322006,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.2, 'e': 0.0283330226727589}",30,2,18.379057017170986,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.027483031992576134}",20,3,30.25540890845303,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.2, 'e': 0.026658541032798848}",20,11,14.075988497570902,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.02585878480181488}",20,5,24.655387519310736,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.025083021257760435}",20,14,12.234664945626168,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.024330530620027623}",35,17,28.42319345570136,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.02360061470142679}",25,20,9.747058148134474,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.022892596260383986}",25,7,30.771055650532315,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.022205818372572468}",20,13,12.787503426237706,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.021539643821395293}",30,12,34.61938281299308,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.2, 'e': 0.020893454506753433}",30,13,36.23970603732186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.02026665087155083}",25,14,18.243088771207447,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
