trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,True,"{'a': 0, 'e': 0}",25,15,-13.781016787996778,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-82.52574145192604,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-96.41866047588864,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-46.49907746225169,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-149.15745868719273,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-137.59966820527575,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,2,-52.923730712141236,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-108.0426033895328,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-70.36912016609716,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-69.79626374149137,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,0,-95.49240570135983,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,0,-150.10052669381813,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
13,True,"{'a': 0, 'e': 0}",20,0,-135.21094882606383,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
14,True,"{'a': 0, 'e': 0}",20,0,-159.41501514199695,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",25,0,-71.1137048416827,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,0,-122.87517362999056,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
17,True,"{'a': 0, 'e': 0}",20,0,-181.17030683843552,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
18,True,"{'a': 0, 'e': 0}",35,1,-120.59872818584259,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 2}",1
19,True,"{'a': 0, 'e': 0}",25,0,-150.09118285243588,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
20,True,"{'a': 0, 'e': 0}",20,0,-120.61528433898684,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
21,True,"{'a': 0, 'e': 0}",30,0,-206.53787739513052,"{0: 17, 1: 0, 2: 9, 3: 1, 4: 3}",0
22,True,"{'a': 0, 'e': 0}",20,0,-164.14865155253565,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
23,True,"{'a': 0, 'e': 0}",20,0,-17.34610589108444,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
24,True,"{'a': 0, 'e': 0}",25,0,-126.27519585352631,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
25,True,"{'a': 0, 'e': 0}",20,0,-77.12608753097456,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
26,True,"{'a': 0, 'e': 0}",30,0,-163.50702779796626,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
27,True,"{'a': 0, 'e': 0}",20,0,-109.052913529701,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
28,True,"{'a': 0, 'e': 0}",30,3,-174.38502645841936,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 3}",1
29,True,"{'a': 0, 'e': 0}",25,0,-91.97353779070714,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
30,True,"{'a': 0, 'e': 0}",20,0,-152.79266364119334,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
